SUBJ	condition	language	PUPIL_SIZE	CCC	rating_natural
2895	NEUTRAL	ENGLISH	1581,59	07bENGLISH	5
2895	NEGATIVE	ENGLISH	1581,84	18aENGLISH	5,88
708	NEGATIVE	ENGLISH	1585,12	05aENGLISH	3,84
4493	NEUTRAL	ENGLISH	1588,16	03bENGLISH	5
708	NEGATIVE	ENGLISH	1588,6	03aENGLISH	5,16
4353	NEUTRAL	ENGLISH	1589,78	14bENGLISH	3,92
2242	NEUTRAL	ENGLISH	1592,03	09bENGLISH	5,48
4353	NEUTRAL	ENGLISH	1592,19	06bENGLISH	4,24
708	NEUTRAL	ENGLISH	1593,5	12bENGLISH	4,96
3570	NEUTRAL	ENGLISH	1594,26	19bENGLISH	5,04
708	NEGATIVE	ENGLISH	1594,91	04aENGLISH	4,28
4423	NEGATIVE	ENGLISH	1595,13	02aENGLISH	6,04
4493	NEUTRAL	ENGLISH	1595,95	05bENGLISH	5,36
4353	NEGATIVE	ENGLISH	1596,9	12aENGLISH	6,24
4353	NEGATIVE	ENGLISH	1598,13	19aENGLISH	4,24
4353	NEGATIVE	ENGLISH	1598,95	06aENGLISH	5,64
1512	NEUTRAL	ENGLISH	1602,32	07bENGLISH	5
4486	NEUTRAL	ENGLISH	1603	01bENGLISH	4
4423	NEUTRAL	ENGLISH	1605,59	20bENGLISH	5,92
4486	NEUTRAL	ENGLISH	1606,48	10bENGLISH	5,6
3570	NEUTRAL	ENGLISH	1607,07	01bENGLISH	4
4423	NEUTRAL	ENGLISH	1608,97	15bENGLISH	3,84
4423	NEUTRAL	ENGLISH	1609,94	10bENGLISH	5,6
4423	NEGATIVE	ENGLISH	1610,29	11aENGLISH	5,28
4353	NEGATIVE	ENGLISH	1610,55	07aENGLISH	4,76
4423	NEGATIVE	ENGLISH	1611,19	18aENGLISH	5,88
4353	NEUTRAL	ENGLISH	1611,83	12bENGLISH	4,96
4353	NEUTRAL	ENGLISH	1612,03	05bENGLISH	5,36
4486	NEGATIVE	ENGLISH	1612,92	09aENGLISH	5,28
2242	NEGATIVE	ENGLISH	1613	10aENGLISH	4,92
4423	NEGATIVE	ENGLISH	1613,94	09aENGLISH	5,28
4486	NEGATIVE	ENGLISH	1615,03	11aENGLISH	5,28
4353	NEUTRAL	ENGLISH	1616,15	19bENGLISH	5,04
4493	NEUTRAL	ENGLISH	1618,36	09bENGLISH	5,48
4353	NEGATIVE	ENGLISH	1618,55	10aENGLISH	4,92
4353	NEGATIVE	ENGLISH	1618,61	13aENGLISH	5,88
4423	NEGATIVE	ENGLISH	1618,75	19aENGLISH	4,24
4353	NEUTRAL	ENGLISH	1619,6	08bENGLISH	3,72
2895	NEGATIVE	ENGLISH	1620,41	02aENGLISH	6,04
4353	NEGATIVE	ENGLISH	1621,55	14aENGLISH	4,8
2895	NEUTRAL	ENGLISH	1622,11	16bENGLISH	4,52
4493	NEGATIVE	ENGLISH	1622,13	01aENGLISH	5,8
708	NEUTRAL	ENGLISH	1625,65	04bENGLISH	4,44
4486	NEUTRAL	ENGLISH	1626,78	08bENGLISH	3,72
4423	NEUTRAL	ENGLISH	1626,79	17bENGLISH	5,28
4423	NEGATIVE	ENGLISH	1629,11	20aENGLISH	3,08
3570	NEUTRAL	ENGLISH	1632	12bENGLISH	4,96
4423	NEGATIVE	ENGLISH	1635,33	16aENGLISH	6,12
4486	NEUTRAL	ENGLISH	1636,34	07bENGLISH	5
4493	NEUTRAL	ENGLISH	1636,47	10bENGLISH	5,6
4353	NEGATIVE	ENGLISH	1637,05	08aENGLISH	6,4
4353	NEGATIVE	ENGLISH	1637,41	02aENGLISH	6,04
4423	NEGATIVE	ENGLISH	1637,64	15aENGLISH	5,32
2895	NEGATIVE	ENGLISH	1638,49	19aENGLISH	4,24
4423	NEUTRAL	ENGLISH	1639,03	12bENGLISH	4,96
3570	NEUTRAL	ENGLISH	1641,93	16bENGLISH	4,52
